0.009822	0.196731		0.009822	0.196823		0.009822	0.195847	
0.028067	0.196727		0.028067	0.196822		0.028067	0.195846	
0.046287	0.196721		0.046287	0.196817		0.046287	0.195853	
0.064522	0.196714		0.064522	0.196812		0.064522	0.195853	
0.082722	0.196711		0.082722	0.196809		0.082722	0.195858	
0.100963	0.196705		0.100963	0.196801		0.100963	0.195852	
0.119198	0.196691		0.119198	0.196792		0.119198	0.195843	
0.137460	0.196691		0.137460	0.196791		0.137460	0.195842	
0.155682	0.196687		0.155682	0.196792		0.155682	0.195842	
0.173882	0.196682		0.173882	0.196793		0.173882	0.195840	
0.192133	0.196679		0.192133	0.196792		0.192133	0.195840	
0.210342	0.196678		0.210342	0.196793		0.210342	0.195839	
0.228572	0.196677		0.228572	0.196793		0.228572	0.195834	
0.246760	0.196678		0.246760	0.196789		0.246760	0.195830	
0.265043	0.196675		0.265043	0.196788		0.265043	0.195825	
0.283288	0.196673		0.283288	0.196783		0.283288	0.195821	
0.301528	0.196675		0.301528	0.196779		0.301528	0.195820	
0.319672	0.196673		0.319672	0.196777		0.319672	0.195813	
0.338230	0.196672		0.338230	0.196777		0.338230	0.195813	
0.356432	0.196672		0.356432	0.196778		0.356432	0.195813	
0.374645	0.196676		0.374645	0.196780		0.374645	0.195817	
0.392880	0.196677		0.392880	0.196778		0.392880	0.195819	
0.411150	0.196678		0.411150	0.196779		0.411150	0.195826	
0.429317	0.196682		0.429317	0.196776		0.429317	0.195829	
0.447572	0.196686		0.447572	0.196770		0.447572	0.195828	
0.465788	0.196680		0.465788	0.196770		0.465788	0.195829	
0.484060	0.196669		0.484060	0.196775		0.484060	0.195825	
0.502277	0.196661		0.502277	0.196775		0.502277	0.195822	
0.520470	0.196655		0.520470	0.196775		0.520470	0.195824	
0.538690	0.196649		0.538690	0.196779		0.538690	0.195823	
0.556953	0.196652		0.556953	0.196774		0.556953	0.195818	
0.575175	0.196654		0.575175	0.196767		0.575175	0.195813	
0.593370	0.196657		0.593370	0.196763		0.593370	0.195807	
0.611625	0.196657		0.611625	0.196763		0.611625	0.195807	
0.629853	0.196663		0.629853	0.196765		0.629853	0.195807	
0.648127	0.196663		0.648127	0.196762		0.648127	0.195806	
0.666358	0.196666		0.666358	0.196765		0.666358	0.195805	
0.684578	0.196670		0.684578	0.196766		0.684578	0.195807	
0.702767	0.196669		0.702767	0.196764		0.702767	0.195810	
0.720980	0.196670		0.720980	0.196761		0.720980	0.195811	
0.739237	0.196665		0.739237	0.196759		0.739237	0.195812	
0.757620	0.196662		0.757620	0.196759		0.757620	0.195816	
0.775957	0.196655		0.775957	0.196756		0.775957	0.195814	
0.794213	0.196647		0.794213	0.196754		0.794213	0.195812	
0.812387	0.196647		0.812387	0.196758		0.812387	0.195813	
0.830652	0.196650		0.830652	0.196769		0.830652	0.195819	
0.848923	0.196653		0.848923	0.196770		0.848923	0.195815	
0.867075	0.196658		0.867075	0.196771		0.867075	0.195812	
0.885333	0.196665		0.885333	0.196771		0.885333	0.195812	
0.903565	0.196662		0.903565	0.196762		0.903565	0.195806	
0.921788	0.196663		0.921788	0.196760		0.921788	0.195806	
0.940017	0.196667		0.940017	0.196759		0.940017	0.195806	
0.958227	0.196669		0.958227	0.196760		0.958227	0.195810	
0.976437	0.196672		0.976437	0.196766		0.976437	0.195808	
0.994722	0.196675		0.994722	0.196770		0.994722	0.195808	
1.012945	0.196665		1.012945	0.196769		1.012945	0.195807	
1.031213	0.196658		1.031213	0.196766		1.031213	0.195805	
1.049380	0.196654		1.049380	0.196761		1.049380	0.195803	
1.067645	0.196648		1.067645	0.196760		1.067645	0.195806	
1.085870	0.196648		1.085870	0.196760		1.085870	0.195805	
1.104072	0.196649		1.104072	0.196760		1.104072	0.195805	
1.122300	0.196651		1.122300	0.196760		1.122300	0.195804	
1.140577	0.196650		1.140577	0.196758		1.140577	0.195800	
1.158778	0.196652		1.158778	0.196757		1.158778	0.195800	
1.176952	0.196656		1.176952	0.196753		1.176952	0.195801	
1.195235	0.196656		1.195235	0.196753		1.195235	0.195802	
1.213487	0.196658		1.213487	0.196755		1.213487	0.195802	
1.231697	0.196657		1.231697	0.196757		1.231697	0.195799	
1.250003	0.196648		1.250003	0.196760		1.250003	0.195795	
1.268118	0.196648		1.268118	0.196764		1.268118	0.195796	
1.286392	0.196645		1.286392	0.196763		1.286392	0.195799	
1.304612	0.196643		1.304612	0.196760		1.304612	0.195805	
1.322837	0.196641		1.322837	0.196753		1.322837	0.195805	
1.341042	0.196642		1.341042	0.196750		1.341042	0.195811	
1.359317	0.196646		1.359317	0.196751		1.359317	0.195804	
1.377537	0.196650		1.377537	0.196744		1.377537	0.195801	
1.395790	0.196654		1.395790	0.196744		1.395790	0.195802	
1.413962	0.196656		1.413962	0.196748		1.413962	0.195797	
1.432192	0.196654		1.432192	0.196752		1.432192	0.195795	
1.450477	0.196644		1.450477	0.196746		1.450477	0.195795	
1.468670	0.196644		1.468670	0.196746		1.468670	0.195790	
1.486922	0.196640		1.486922	0.196743		1.486922	0.195790	
1.505370	0.196638		1.505370	0.196740		1.505370	0.195790	
1.523633	0.196638		1.523633	0.196740		1.523633	0.195792	
1.541850	0.196647		1.541850	0.196749		1.541850	0.195792	
1.560205	0.196650		1.560205	0.196759		1.560205	0.195799	
1.578560	0.196650		1.578560	0.196764		1.578560	0.195804	
1.596795	0.196649		1.596795	0.196768		1.596795	0.195802	
1.615028	0.196644		1.615028	0.196764		1.615028	0.195799	
1.633248	0.196641		1.633248	0.196759		1.633248	0.195797	
