Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,blank    3/16/2021 2:44:24 PM    (Run: 1),,,,,,,,
283171,22410.000,43090.000,618.000,4845.000,220.000,345000.000,489500.000,0.000,4.000
287216,22580.000,43410.000,744.000,4999.000,176.000,345800.000,499400.000,0.000,6.000
291261,21640.000,43070.000,700.000,4915.000,180.000,345300.000,483400.000,0.000,14.000
295306,22460.000,44060.000,716.000,4733.000,234.000,346100.000,492500.000,0.000,18.000
299352,22300.000,43730.000,680.000,5005.000,180.000,346800.000,492600.000,0.000,14.000
303397,22660.000,43490.000,748.000,4813.000,172.000,346400.000,490200.000,0.000,18.000
307442,22090.000,43560.000,600.000,4961.000,230.000,345400.000,490700.000,0.000,16.000
311488,22790.000,43800.000,682.000,4871.000,204.000,351400.000,492100.000,0.000,8.000
315533,22300.000,42890.000,638.000,4857.000,176.000,340900.000,490000.000,0.000,6.000
319578,22550.000,43700.000,670.000,4765.000,206.000,349000.000,493800.000,0.000,20.000
323624,22150.000,42640.000,660.000,4857.000,238.000,351100.000,488400.000,0.000,12.000
327669,22230.000,44480.000,622.000,4983.000,216.000,347800.000,506400.000,0.000,8.000
331714,22170.000,43280.000,646.000,5059.000,194.000,343800.000,497500.000,0.000,6.000
335759,22280.000,43490.000,608.000,4645.000,252.000,344400.000,497200.000,0.000,6.000
339805,21920.000,43610.000,642.000,5061.000,178.000,342300.000,490800.000,0.000,10.000
343850,22350.000,43990.000,666.000,4911.000,186.000,345300.000,489600.000,0.000,12.000
347895,22880.000,43310.000,664.000,4909.000,190.000,346500.000,500500.000,0.000,4.000
351941,22510.000,42990.000,674.000,4967.000,216.000,346200.000,495100.000,0.000,6.000
355986,22860.000,43760.000,660.000,5013.000,232.000,343000.000,502000.000,0.000,2.000
360031,22670.000,43160.000,674.000,4983.000,196.000,348400.000,490700.000,0.000,12.000
364077,22090.000,43400.000,614.000,4975.000,216.000,341400.000,484600.000,0.000,8.000
368122,22350.000,44390.000,664.000,4981.000,218.000,343500.000,496500.000,0.000,8.000
372167,22510.000,43080.000,704.000,5043.000,198.000,352200.000,486800.000,0.000,4.000
376212,22230.000,43400.000,682.000,4841.000,162.000,348200.000,498600.000,0.000,8.000
380258,22460.000,43160.000,684.000,4607.000,212.000,348300.000,492500.000,0.000,12.000
384303,22100.000,43600.000,636.000,5063.000,222.000,346400.000,492800.000,0.000,12.000
388348,22130.000,44360.000,710.000,4841.000,210.000,347400.000,501100.000,0.000,8.000
392394,22730.000,43950.000,602.000,4993.000,194.000,350800.000,508300.000,0.000,0.000
396439,22160.000,43910.000,704.000,4721.000,168.000,343000.000,499300.000,0.000,8.000
400484,22860.000,44010.000,662.000,4837.000,204.000,349100.000,500200.000,0.000,14.000
404530,22440.000,43400.000,590.000,4963.000,244.000,346900.000,496600.000,0.000,8.000
408575,23010.000,44810.000,728.000,4897.000,218.000,350100.000,492600.000,0.000,14.000
412620,22210.000,42990.000,688.000,4815.000,188.000,346900.000,493300.000,0.000,10.000
416665,22700.000,44050.000,686.000,4767.000,228.000,343100.000,492000.000,0.000,4.000
420711,22050.000,44330.000,638.000,4861.000,204.000,350100.000,501900.000,0.000,12.000
424756,22510.000,42980.000,678.000,4801.000,194.000,349900.000,494300.000,0.000,18.000
428801,22240.000,44140.000,620.000,4667.000,150.000,347700.000,498900.000,0.000,18.000
432847,22830.000,43320.000,606.000,4899.000,220.000,345700.000,496100.000,0.000,0.000
436892,22260.000,43590.000,570.000,4757.000,190.000,343100.000,495000.000,0.000,10.000
440937,22490.000,45030.000,630.000,5005.000,170.000,348000.000,502200.000,0.000,4.000
444983,22740.000,43890.000,750.000,4993.000,176.000,347900.000,488800.000,0.000,10.000
449028,22500.000,44280.000,670.000,4925.000,202.000,346600.000,494600.000,0.000,4.000
453073,22380.000,43660.000,602.000,4583.000,194.000,344700.000,493200.000,0.000,8.000
457118,22250.000,46140.000,682.000,5041.000,186.000,330800.000,478700.000,0.000,10.000
461164,22770.000,43730.000,636.000,4991.000,174.000,346200.000,491000.000,0.000,8.000
465209,22530.000,43090.000,614.000,4803.000,166.000,347700.000,487900.000,0.000,2.000
469254,22460.000,43270.000,730.000,4957.000,180.000,346100.000,493300.000,0.000,10.000
473300,22280.000,43370.000,628.000,5023.000,218.000,353100.000,500100.000,0.000,10.000
477345,22010.000,43180.000,694.000,4891.000,200.000,341800.000,491300.000,0.000,10.000
481390,22430.000,44190.000,626.000,4829.000,218.000,347900.000,501800.000,0.000,6.000
485436,22840.000,43640.000,628.000,5009.000,186.000,348500.000,498900.000,0.000,10.000
489481,22630.000,43860.000,614.000,4699.000,232.000,344400.000,496600.000,0.000,6.000
493526,21930.000,43920.000,656.000,5209.000,194.000,351800.000,501700.000,0.000,8.000
497571,22050.000,43450.000,628.000,4895.000,190.000,338000.000,495600.000,0.000,14.000
501617,22510.000,45250.000,644.000,4903.000,218.000,346400.000,487800.000,0.000,6.000
505662,22140.000,44580.000,630.000,4907.000,218.000,348900.000,497800.000,0.000,12.000
509707,22500.000,43860.000,684.000,5047.000,198.000,342600.000,490400.000,0.000,4.000
513753,22470.000,42930.000,722.000,4865.000,194.000,347100.000,490700.000,0.000,8.000
517798,22740.000,44550.000,618.000,4815.000,148.000,344400.000,494300.000,0.000,8.000
521843,22400.000,43890.000,600.000,5017.000,194.000,347600.000,501400.000,0.000,12.000
525889,22120.000,42770.000,628.000,4775.000,176.000,343300.000,493600.000,0.000,12.000
529934,22470.000,44390.000,656.000,4877.000,174.000,346400.000,494000.000,0.000,8.000
533979,22250.000,44200.000,750.000,4851.000,224.000,350000.000,495200.000,0.000,14.000
538024,22900.000,44150.000,636.000,4911.000,218.000,344500.000,494500.000,0.000,6.000
542070,22660.000,44210.000,680.000,5005.000,180.000,341300.000,498000.000,0.000,4.000
546115,22780.000,43520.000,632.000,4631.000,218.000,350000.000,500000.000,0.000,6.000
550160,22370.000,44690.000,592.000,4939.000,158.000,349100.000,495600.000,0.000,10.000
554206,22550.000,43400.000,704.000,4781.000,202.000,346800.000,494900.000,0.000,6.000
558251,22140.000,42870.000,652.000,4793.000,160.000,337800.000,485900.000,0.000,10.000
562296,22340.000,43750.000,658.000,4769.000,198.000,346000.000,493000.000,0.000,12.000
566342,22530.000,43310.000,648.000,4947.000,190.000,352000.000,493000.000,0.000,6.000
570387,21970.000,43880.000,648.000,4853.000,196.000,347400.000,496000.000,0.000,14.000
574432,21930.000,42300.000,638.000,4805.000,216.000,347400.000,495800.000,0.000,10.000
578477,23040.000,44830.000,608.000,4777.000,196.000,347300.000,488400.000,0.000,10.000
582523,22770.000,43570.000,628.000,4837.000,232.000,352300.000,502200.000,0.000,12.000
586568,22340.000,43680.000,614.000,4979.000,158.000,348000.000,499000.000,0.000,12.000
590613,22640.000,43950.000,648.000,4811.000,198.000,349300.000,506000.000,0.000,8.000
594659,22730.000,43220.000,676.000,4847.000,164.000,350000.000,498400.000,0.000,10.000
598704,22480.000,44410.000,626.000,4829.000,214.000,347300.000,492900.000,0.000,12.000
602749,22170.000,44740.000,694.000,4745.000,224.000,347600.000,503500.000,0.000,8.000
606795,22150.000,43140.000,634.000,4999.000,202.000,338800.000,481700.000,0.000,4.000
610840,22730.000,43000.000,664.000,4801.000,218.000,342700.000,492700.000,0.000,10.000
614885,22560.000,42440.000,638.000,4961.000,192.000,345300.000,493600.000,0.000,8.000
618930,22640.000,44280.000,696.000,4741.000,186.000,347400.000,491700.000,0.000,6.000
622976,22130.000,44740.000,686.000,4979.000,186.000,347100.000,495100.000,0.000,8.000
627021,22850.000,42740.000,680.000,4793.000,218.000,346400.000,497000.000,0.000,10.000
631066,22920.000,44080.000,620.000,4981.000,174.000,344700.000,494900.000,0.000,6.000
635112,22450.000,43310.000,648.000,4901.000,202.000,344900.000,487400.000,0.000,2.000
639157,22460.000,42590.000,692.000,4779.000,182.000,343600.000,484500.000,0.000,24.000
643202,22460.000,42860.000,642.000,4771.000,168.000,345900.000,496900.000,0.000,8.000
647248,22430.000,43540.000,654.000,4999.000,156.000,346000.000,495900.000,0.000,8.000
651293,22310.000,44270.000,626.000,4751.000,182.000,348000.000,500900.000,0.000,8.000
655338,22650.000,43730.000,650.000,4867.000,182.000,342300.000,490300.000,0.000,12.000
659383,23270.000,43740.000,624.000,5025.000,176.000,344800.000,494900.000,0.000,8.000
663429,22990.000,43590.000,642.000,4835.000,178.000,349300.000,503100.000,0.000,6.000
667474,22710.000,42830.000,724.000,4817.000,188.000,352500.000,502300.000,0.000,2.000
671519,22440.000,45470.000,768.000,5015.000,224.000,348600.000,497100.000,0.000,6.000
675565,22920.000,43770.000,708.000,4753.000,180.000,349600.000,499900.000,0.000,8.000
679610,22860.000,44670.000,646.000,5063.000,238.000,341000.000,496100.000,0.000,12.000
683655,22910.000,43510.000,626.000,4985.000,206.000,352000.000,501600.000,0.000,2.000
687701,23580.000,44860.000,704.000,5055.000,240.000,351900.000,499300.000,0.000,6.000
691746,23080.000,45910.000,738.000,5230.000,288.000,351100.000,499100.000,0.000,14.000
695791,23410.000,44290.000,746.000,5065.000,278.000,350600.000,502300.000,0.000,2.000
699836,23430.000,45400.000,674.000,5011.000,258.000,353500.000,502100.000,0.000,4.000
703882,22690.000,45170.000,660.000,5302.000,306.000,346000.000,500900.000,0.000,12.000
707927,23320.000,43650.000,738.000,5093.000,234.000,351000.000,500200.000,0.000,12.000
711972,22750.000,44680.000,626.000,5191.000,260.000,355700.000,500100.000,0.000,8.000
716018,23240.000,44070.000,672.000,5039.000,262.000,351800.000,501100.000,0.000,16.000
720063,23280.000,44560.000,724.000,5109.000,240.000,346800.000,497000.000,0.000,10.000
724108,22980.000,45310.000,658.000,5135.000,222.000,354500.000,503500.000,0.000,8.000
728154,23050.000,44330.000,706.000,5067.000,204.000,351300.000,495400.000,0.000,16.000
732199,22720.000,44470.000,756.000,5047.000,260.000,352500.000,508800.000,0.000,8.000
736244,23510.000,44350.000,634.000,5111.000,246.000,356100.000,506600.000,0.000,8.000
740289,23020.000,45220.000,740.000,5001.000,226.000,352300.000,497300.000,0.000,6.000
744335,23520.000,44770.000,656.000,4989.000,242.000,355300.000,509600.000,0.000,4.000
748380,22690.000,43690.000,710.000,4925.000,194.000,350300.000,501200.000,0.000,6.000
752425,23370.000,45210.000,776.000,5183.000,206.000,345800.000,498600.000,0.000,14.000
756471,23120.000,44680.000,738.000,5039.000,254.000,354500.000,505800.000,0.000,4.000
760516,23400.000,45400.000,718.000,5143.000,244.000,354900.000,505600.000,0.000,6.000
764561,22820.000,44860.000,610.000,5017.000,244.000,351400.000,508500.000,0.000,6.000
768607,23120.000,44230.000,704.000,5111.000,236.000,354100.000,502800.000,0.000,10.000
772652,23090.000,44840.000,744.000,4983.000,324.000,351400.000,505700.000,0.000,4.000
776697,23860.000,44430.000,700.000,4999.000,238.000,356600.000,505400.000,0.000,10.000
780742,23150.000,44120.000,686.000,5023.000,204.000,351200.000,503300.000,0.000,8.000
784788,23080.000,44560.000,698.000,5151.000,232.000,351400.000,506400.000,0.000,14.000
788833,22910.000,44150.000,698.000,5027.000,208.000,353200.000,503100.000,0.000,12.000
792878,23810.000,44160.000,768.000,5025.000,256.000,352500.000,510600.000,0.000,8.000
796924,23260.000,44610.000,676.000,5065.000,204.000,350700.000,504000.000,0.000,10.000
800969,23760.000,44720.000,612.000,5232.000,214.000,352900.000,497300.000,0.000,12.000
805014,23370.000,44340.000,698.000,5003.000,258.000,350500.000,507800.000,0.000,14.000
809060,23510.000,44270.000,776.000,5015.000,226.000,351800.000,505300.000,0.000,16.000
813105,23120.000,44640.000,604.000,5089.000,224.000,356200.000,505900.000,100.000,10.000
817150,23350.000,45200.000,678.000,5201.000,206.000,349700.000,506400.000,0.000,14.000
821195,23420.000,44450.000,698.000,5284.000,214.000,350300.000,507700.000,0.000,14.000
825241,23070.000,45440.000,648.000,5045.000,220.000,356000.000,503700.000,0.000,16.000
829286,23180.000,43110.000,648.000,5131.000,244.000,352300.000,502800.000,0.000,20.000
833331,23500.000,44560.000,650.000,5318.000,250.000,353600.000,509900.000,0.000,8.000
837377,22760.000,44580.000,646.000,5115.000,212.000,352500.000,508600.000,0.000,16.000
841422,23540.000,43590.000,758.000,5135.000,214.000,354500.000,505300.000,0.000,4.000
845467,23450.000,44730.000,686.000,4905.000,222.000,355700.000,505000.000,0.000,2.000
849513,22950.000,44260.000,652.000,5187.000,228.000,351400.000,496700.000,0.000,16.000
853558,22980.000,44310.000,684.000,5119.000,206.000,352100.000,504800.000,0.000,12.000
857603,23090.000,43740.000,728.000,5127.000,184.000,353400.000,501700.000,0.000,14.000
861648,23730.000,44740.000,668.000,5258.000,182.000,351000.000,502900.000,0.000,14.000
865694,23210.000,45190.000,672.000,5366.000,188.000,353400.000,511000.000,0.000,8.000
869739,23450.000,44450.000,604.000,5350.000,230.000,352700.000,510400.000,0.000,14.000
873784,23290.000,45060.000,648.000,5205.000,204.000,358700.000,507800.000,0.000,4.000
877830,22480.000,45030.000,634.000,5209.000,252.000,355400.000,504600.000,0.000,10.000
881875,23640.000,45340.000,604.000,5173.000,216.000,353500.000,502500.000,0.000,2.000
885920,23530.000,45120.000,668.000,5322.000,204.000,357900.000,507700.000,0.000,8.000
889966,23560.000,44360.000,634.000,5446.000,214.000,352000.000,497600.000,0.000,16.000
894011,23270.000,44690.000,656.000,5149.000,254.000,354400.000,504500.000,0.000,12.000
898056,22780.000,44050.000,590.000,5230.000,214.000,349500.000,499900.000,0.000,20.000
902101,22980.000,44080.000,628.000,5334.000,168.000,351700.000,501100.000,0.000,4.000
906147,23580.000,45910.000,698.000,5197.000,250.000,354300.000,510300.000,0.000,4.000
910192,23000.000,45280.000,628.000,5109.000,246.000,354200.000,504200.000,0.000,4.000
914237,23320.000,44910.000,712.000,5003.000,198.000,350700.000,511400.000,0.000,8.000
918283,23340.000,44230.000,640.000,5310.000,198.000,352200.000,502700.000,0.000,4.000
922328,23560.000,44800.000,630.000,5228.000,252.000,347300.000,500700.000,0.000,18.000
926373,23320.000,44610.000,658.000,5161.000,224.000,350600.000,500500.000,0.000,8.000
930419,23110.000,43970.000,636.000,5187.000,210.000,351700.000,508500.000,0.000,6.000
934464,23600.000,45160.000,668.000,5312.000,212.000,346100.000,498100.000,0.000,6.000
938509,23440.000,44120.000,734.000,5171.000,202.000,352200.000,505000.000,0.000,8.000
942554,23460.000,43900.000,642.000,5081.000,236.000,345700.000,504300.000,0.000,8.000
946600,23050.000,44790.000,652.000,5119.000,230.000,343300.000,494700.000,0.000,8.000
950645,23250.000,43980.000,656.000,5153.000,210.000,349900.000,496400.000,0.000,8.000
954690,23200.000,44440.000,612.000,5304.000,236.000,349200.000,502400.000,0.000,6.000
958736,23160.000,45360.000,702.000,5308.000,200.000,351900.000,508200.000,0.000,6.000
962781,23190.000,45270.000,656.000,5244.000,194.000,351600.000,506600.000,0.000,12.000
966826,23780.000,46070.000,658.000,5304.000,242.000,360400.000,504200.000,0.000,8.000
970872,23310.000,44500.000,670.000,5205.000,218.000,349000.000,493900.000,0.000,10.000
