Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,jdk raw    3/16/2021 2:00:22 PM    (Run: 1),,,,,,,,
283171,23810.000,43950.000,776.000,5390.000,250.000,364800.000,514600.000,0.000,12.000
287216,23890.000,44580.000,696.000,5113.000,230.000,368900.000,504900.000,0.000,6.000
291261,23640.000,45180.000,794.000,5238.000,220.000,359700.000,505000.000,0.000,6.000
295306,23810.000,44910.000,734.000,5095.000,234.000,367900.000,521000.000,0.000,10.000
299352,23960.000,45060.000,716.000,5173.000,238.000,369800.000,513200.000,0.000,6.000
303397,23540.000,44510.000,770.000,5336.000,260.000,366400.000,509200.000,0.000,8.000
307442,23430.000,45550.000,656.000,5578.000,214.000,370200.000,504400.000,0.000,8.000
311488,23790.000,45020.000,752.000,5191.000,202.000,362700.000,504800.000,0.000,6.000
315533,23270.000,44060.000,766.000,5286.000,198.000,370000.000,510800.000,0.000,10.000
319578,23850.000,44750.000,852.000,5410.000,182.000,367400.000,506100.000,0.000,18.000
323624,23900.000,44940.000,738.000,5238.000,230.000,364900.000,521000.000,0.000,8.000
327669,23770.000,44080.000,842.000,5226.000,186.000,365500.000,508300.000,0.000,8.000
331714,23480.000,44590.000,710.000,5187.000,216.000,366400.000,509600.000,0.000,8.000
335759,23530.000,44740.000,760.000,5290.000,212.000,365900.000,510100.000,0.000,10.000
339805,23300.000,44160.000,720.000,5262.000,224.000,369800.000,518300.000,0.000,14.000
343850,23700.000,44930.000,708.000,5199.000,216.000,364800.000,508500.000,0.000,8.000
347895,23950.000,43610.000,756.000,5236.000,222.000,365400.000,515000.000,0.000,18.000
351941,24010.000,44750.000,736.000,5280.000,228.000,359400.000,498800.000,0.000,4.000
355986,23820.000,45350.000,808.000,5207.000,196.000,366000.000,511400.000,0.000,10.000
360031,23990.000,44460.000,832.000,5187.000,220.000,364800.000,505600.000,0.000,4.000
364077,24240.000,44880.000,740.000,5003.000,206.000,360200.000,516500.000,0.000,6.000
368122,23700.000,44930.000,782.000,5205.000,254.000,371800.000,517200.000,0.000,8.000
372167,23920.000,44340.000,724.000,5232.000,214.000,366000.000,512700.000,0.000,6.000
376212,23930.000,44330.000,716.000,5526.000,252.000,363500.000,503600.000,0.000,6.000
380258,23590.000,43760.000,776.000,5189.000,226.000,363600.000,510900.000,0.000,10.000
384303,23870.000,44670.000,726.000,5442.000,192.000,360500.000,513400.000,0.000,16.000
388348,24010.000,44430.000,760.000,5358.000,216.000,364700.000,518000.000,0.000,12.000
392394,23870.000,44660.000,740.000,5318.000,196.000,365600.000,508700.000,0.000,4.000
396439,23590.000,45470.000,752.000,5230.000,184.000,367700.000,507900.000,0.000,8.000
400484,24090.000,44660.000,670.000,5308.000,238.000,368000.000,514400.000,0.000,6.000
404530,23740.000,44560.000,756.000,5368.000,250.000,361300.000,512400.000,0.000,4.000
408575,23840.000,44630.000,816.000,5256.000,226.000,368900.000,512100.000,0.000,12.000
412620,24310.000,45090.000,824.000,5151.000,292.000,364400.000,510400.000,0.000,16.000
416665,24230.000,43990.000,802.000,5390.000,246.000,367400.000,515800.000,0.000,6.000
420711,23610.000,44610.000,734.000,5177.000,232.000,370000.000,511400.000,0.000,12.000
424756,23760.000,44170.000,714.000,5125.000,202.000,362200.000,505400.000,0.000,8.000
428801,24380.000,44460.000,758.000,5336.000,190.000,362700.000,514300.000,0.000,16.000
432847,23810.000,45320.000,696.000,5320.000,224.000,367900.000,505700.000,0.000,12.000
436892,23630.000,44600.000,754.000,5362.000,228.000,370800.000,510600.000,0.000,12.000
440937,23880.000,44440.000,754.000,5207.000,254.000,369300.000,502000.000,0.000,6.000
444983,23990.000,45430.000,694.000,5254.000,224.000,361600.000,513400.000,0.000,6.000
449028,23650.000,44490.000,720.000,5105.000,168.000,364200.000,513800.000,0.000,16.000
453073,24020.000,44590.000,762.000,5250.000,188.000,367200.000,509100.000,0.000,8.000
457118,23470.000,45120.000,722.000,5193.000,216.000,372100.000,510400.000,0.000,10.000
461164,23840.000,44040.000,748.000,5109.000,226.000,364200.000,506700.000,0.000,4.000
465209,23810.000,45330.000,772.000,5199.000,222.000,362200.000,506100.000,0.000,0.000
